X,Y,ID,ELEV
469167.054536137,6831642.41582323,372,1650.000
469262.856554714,6831831.01841319,372,1650.000
469391.604985746,6832044.63939911,372,1650.000
469540.195991981,6832292.72940058,372,1650.000
469616.346220042,6832474.41033601,372,1650.000
469728.628446888,6832755.24056217,372,1650.000
469841.359783662,6832941.66459365,372,1650.000
470016.926250548,6833216.8927819,372,1650.000
470065.473157116,6833312.03546906,372,1650.000
470289.083672995,6833629.52404031,372,1650.000
470364.685719003,6833678.05736947,372,1650.000
470511.164047116,6833772.73064004,372,1650.000
470237.248019314,6837856.68042545,122,900.000
470324.587696148,6837752.77805128,122,900.000
470339.70628874,6837855.79692833,122,900.000
460769.706691853,6831670.89921488,235,1900.000
460966.757443635,6831450.64118618,235,1900.000
460987.682444639,6831403.51761979,235,1900.000
461207.682717466,6831313.38124028,235,1900.000
461428.906074283,6831331.77207598,235,1900.000
461650.496537383,6831383.4713606,235,1900.000
461699.196747814,6831442.44142687,235,1900.000
461876.331171732,6831820.26634553,235,1900.000
461894.938933438,6831904.45758381,235,1900.000
461894.16907198,6832368.64758805,235,1900.000
461882.6168189,6832389.63720169,235,1900.000
461663.984758674,6832598.24131155,235,1900.000
461444.390526908,6832718.33092969,235,1900.000
461254.284579931,6832839.95199752,235,1900.000
461224.904638379,6832846.7288659,235,1900.000
461004.903713089,6832928.10990744,235,1900.000
460785.315727922,6833044.95460043,235,1900.000
469872.129457832,6836463.04268897,123,950.000
469882.196963434,6836467.25259667,123,950.000
469872.843051014,6836544.69609585,123,950.000
469856.405668452,6836467.47801514,123,950.000
469872.129457832,6836463.04268897,123,950.000
460829.059621853,6836894.8562396,235,1900.000
461048.775803965,6836811.20095452,235,1900.000
461269.463444456,6836813.08354265,235,1900.000
461491.54832441,6836940.08504394,235,1900.000
461712.755934975,6836989.60695155,235,1900.000
461932.815468576,6836935.78232369,235,1900.000
462153.248995214,6836915.42337932,235,1900.000
462372.611645245,6836796.75689891,235,1900.000
462436.161473588,6836540.345999,235,1900.000
462365.15967835,6836114.07178985,235,1900.000
462348.991159421,6836077.11366035,235,1900.000
462140.143618706,6835721.80741906,235,1900.000
462080.493519127,6835615.8725724,235,1900.000
462134.037233325,6835165.60683346,235,1900.000
462150.858350248,6835150.91648723,235,1900.000
462353.954579927,6835087.4828978,235,1900.000
462574.044264061,6835024.35245648,235,1900.000
462795.969035044,6835130.63533472,235,1900.000
462811.512875782,6835143.7300408,235,1900.000
463018.780311181,6835320.89527499,235,1900.000
463241.913874405,6835543.7065265,235,1900.000
