X,Y,id,ELEV
462075.717342082,6843391.80354299,4,742.3333129900
462234.273568935,6843390.05842718,5,769.1666259800
462392.829852821,6843388.32062308,6,789.9721679700
462551.3861935,6843386.5901307,7,789.9721679700
462709.942590732,6843384.86695003,8,791.7221679700
462868.499044279,6843383.15108107,9,776.0277710000
463027.055553899,6843381.44252382,10,745.8055419900
463185.612119355,6843379.74127827,11,745.8055419900
463344.168740406,6843378.04734444,12,720.1111450200
463502.725416813,6843376.36072231,13,750.2500610400
463661.282148337,6843374.68141187,14,786.1667480500
463819.838934737,6843373.00941315,15,786.1667480500
463978.395775775,6843371.34472612,16,786.6389160200
464136.952671211,6843369.68735079,17,767.3056030300
464295.509620805,6843368.03728715,18,767.3056030300
464454.066624318,6843366.39453521,19,733.0556030300
464612.623681511,6843364.75909496,20,698.5277710000
464771.180792144,6843363.13096641,21,667.4722290000
464929.737955977,6843361.51014954,22,667.4722290000
465088.295172771,6843359.89664437,23,635.1666870100
465246.852442287,6843358.29045087,24,604.8333129900
465405.409764284,6843356.69156907,25,604.8333129900
465563.967138525,6843355.09999895,26,587.5555419900
465722.524564768,6843353.51574051,27,585.6110839800
465881.082042774,6843351.93879375,28,594.3055419900
466039.639572305,6843350.36915867,29,594.3055419900
466198.19715312,6843348.80683527,30,622.9722290000
466356.754784981,6843347.25182355,31,649.6943969700
466515.312467647,6843345.7041235,32,649.6943969700
466673.870200879,6843344.16373512,33,669.9443969700
466832.427984437,6843342.63065842,34,706.1944580100
466990.985818083,6843341.10489338,35,760.1666870100
467149.543701576,6843339.58644002,36,760.1666870100
467308.101634677,6843338.07529832,37,830.6666870100
467466.659617147,6843336.57146829,38,900.0556030300
467625.217648746,6843335.07494992,39,956.9166870100
467783.775729235,6843333.58574321,40,956.9166870100
467942.333858374,6843332.10384817,41,996.3333740200
468100.892035924,6843330.62926479,42,1022.2777710000
468259.450261645,6843329.16199306,43,1022.2777710000
468418.008535297,6843327.702033,44,1025.8333740000
468576.566856642,6843326.24938459,45,993.2500000000
468735.12522544,6843324.80404783,46,939.0833129900
468893.683641451,6843323.36602273,47,939.0833129900
469052.242104436,6843321.93530928,48,884.6666259800
469210.800614155,6843320.51190748,49,819.0554809600
469369.359170369,6843319.09581733,50,819.0554809600
469527.917772838,6843317.68703882,51,768.2777710000
469686.476421324,6843316.28557197,52,764.5277710000
469845.035115585,6843314.89141676,53,794.5278320300
470003.593855384,6843313.50457319,54,794.5278320300
470162.15264048,6843312.12504127,55,834.9166870100
470320.711470634,6843310.75282098,56,878.4722900400
470479.270345607,6843309.38791234,57,878.4722900400
470637.829265159,6843308.03031533,58,933.5833740200
462072.03166285,6843057.62868913,66,891.3610839800
462230.603299744,6843055.88345287,67,918.0277099600
462389.174993667,6843054.14552884,68,895.3888549800
462547.74674438,6843052.41491702,69,895.3888549800
462706.318551642,6843050.69161742,70,835.8333129900
462864.890415215,6843048.97563003,71,767.9722290000
463023.462334858,6843047.26695486,72,700.9722290000
463182.034310334,6843045.5655919,73,700.9722290000
463340.606341401,6843043.87154115,74,660.4444580100
463499.178427821,6843042.18480261,75,672.3056030300
463657.750569354,6843040.50537628,76,695.6666870100
463816.32276576,6843038.83326215,77,695.6666870100
463974.895016801,6843037.16846023,78,703.5000000000
464133.467322236,6843035.51097051,79,701.2222290000
464292.039681826,6843033.86079299,80,701.2222290000
464450.612095332,6843032.21792767,81,695.4722290000
464609.184562514,6843030.58237455,82,675.7777710000
464767.757083133,6843028.95413363,83,640.5833129900
464926.329656949,6843027.3332049,84,640.5833129900
465084.902283723,6843025.71958836,85,613.3888549800
465243.474963214,6843024.11328401,86,621.0277710000
465402.047695185,6843022.51429186,87,621.0277710000
465560.620479395,6843020.92261189,88,637.6110839800
465719.193315605,6843019.33824411,89,646.2221679700
465877.766203575,6843017.76118852,90,650.2777710000
466036.339143066,6843016.19144511,91,650.2777710000
466194.912133838,6843014.62901388,92,677.9722290000
466353.485175652,6843013.07389483,93,717.6388549800
466512.058268269,6843011.52608796,94,717.6388549800
466670.631411448,6843009.98559328,95,759.3888549800
466829.204604951,6843008.45241076,96,803.8888549800
466987.777848538,6843006.92654042,97,850.3055419900
467146.35114197,6843005.40798226,98,850.3055419900
467304.924485006,6843003.89673627,99,901.4166870100
467463.497877409,6843002.39280245,100,947.1110839800
467622.071318937,6843000.89618079,101,986.3889160200
467780.644809352,6842999.40687131,102,986.3889160200
467939.218348414,6842997.92487399,103,1006.5277710000
468097.791935884,6842996.45018884,104,1016.6944580000
468256.365571522,6842994.98281585,105,1016.6944580000
468414.939255089,6842993.52275502,106,1020.5000000000
468573.512986345,6842992.07000636,107,1006.6666260000
468732.086765052,6842990.62456985,108,980.0833129900
468890.660590968,6842989.1864455,109,980.0833129900
469049.234463855,6842987.75563331,110,944.3888549800
469207.808383474,6842986.33213327,111,893.4721679700
469366.382349585,6842984.91594539,112,893.4721679700
469524.956361948,6842983.50706965,113,838.4721679700
469683.530420325,6842982.10550607,114,792.1110839800
469842.104524475,6842980.71125465,115,769.4444580100
470000.678674159,6842979.32431536,116,769.4444580100
470159.252869138,6842977.94468823,117,788.3889160200
470317.827109172,6842976.57237324,118,825.5556030300
470476.401394022,6842975.20737039,119,825.5556030300
470634.975723448,6842973.84967969,120,874.6945190400
462068.346089046,6842723.45398037,128,1021.3333130000
462226.93313554,6842721.70862368,129,995.5000000000
462385.520239059,6842719.97057972,130,923.1388549800
462544.107399365,6842718.23984849,131,923.1388549800
462702.694616216,6842716.51642998,132,836.9721679700
